"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"f_00000d"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:58 CDT"	"73316"	"693"	"f4b7adcd824ed3c00f8eedf3dd8d6637"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_00000d"
"f_00000d-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:58 CDT"	"412"	"693"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_00000d-slack"
"f_00000e"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:58 CDT"	"26278"	"694"	"61c05c7867066523edeee1da5e0f9998"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_00000e"
"f_00000e-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 11:59:58 CDT"	"2394"	"694"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_00000e-slack"
"f_00000f"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 12:00:02 CDT"	"26264"	"695"	"a77192f4002580a678112916370e3169"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_00000f"
"f_00000f-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 12:00:02 CDT"	"2408"	"695"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_00000f-slack"
"f_000011"	""	"-"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"0"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"----------"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000011"
"f_000012"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 12:00:53 CDT"	"50669"	"697"	"1f3e8fe774ad3f36dff4ee471aed9ecd"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000012"
"f_000012-slack"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 12:00:53 CDT"	"2579"	"697"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000012-slack"
"f_000014"	""	"r"	""	"2014-08-25 15:35:46 CDT"	"2014-08-25 15:35:46 CDT"	"2014-07-25 12:00:54 CDT"	"42803"	"698"	"8316aba7c29789784baf87fe8870befa"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Cache/f_000014"
